State,year,medicaid_expenditure,chip_expenditure,total_expenditure
Utah,2017,2451642619.0,94404669,2546047288.0
Utah,2018,2421929601.0,87202506,2509132107.0
Utah,2019,2724326505.0,85925531,2810252036.0
Utah,2020,3084967869.0,88963716,3173931585.0
Utah,2021,3522910222.0,96607686,3619517908.0
Utah,2022,4211452614.0,102875730,4314328344.0
Utah,2023,4531351223.0,103559537,4634910760.0
Utah,2024,4907092673.0,124460967,5031553640.0
Vermont,2014,1526126311.0,6664271,1532790582.0
Vermont,2015,1632611663.0,9990424,1642602087.0
Vermont,2016,1679425056.0,9945738,1689370794.0
Vermont,2017,1600236799.0,12098851,1612335650.0
Vermont,2018,1595969592.0,12387579,1608357171.0
Vermont,2019,1637796926.0,14053465,1651850391.0
Vermont,2020,1616960203.0,13165905,1630126108.0
Vermont,2021,1673166756.0,13463355,1686630111.0
Vermont,2022,1884369967.0,15000973,1899370940.0
Vermont,2023,1997411908.0,15123935,2012535843.0
Vermont,2024,2132603719.0,17993640,2150597359.0
Virgin Islands,2014,70879624.0,5778625,76658249.0
Virgin Islands,2015,38872472.0,5452466,44324938.0
Virgin Islands,2016,57817182.0,6821662,64638844.0
Virgin Islands,2017,53582469.0,9044820,62627289.0
Virgin Islands,2018,59437714.0,11361879,70799593.0
Virgin Islands,2019,137693285.0,15252046,152945331.0
Virgin Islands,2020,77596122.0,11587298,89183420.0
Virgin Islands,2021,96038222.0,13770841,109809063.0
Virgin Islands,2022,137287976.0,3196010,140483986.0
Virgin Islands,2023,164402805.0,-9111655,155291150.0
Virgin Islands,2024,126276257.0,27114303,153390560.0
Virginia,2014,7547405238.0,130667160,7678072398.0
Virginia,2015,8032760161.0,119927592,8152687753.0
Virginia,2016,8498905069.0,126875085,8625780154.0
Virginia,2017,8987642645.0,137841835,9125484480.0
Virginia,2018,9562002903.0,174903537,9736906440.0
Virginia,2019,11307295979.0,199281349,11506577328.0
Virginia,2020,13512390024.0,201803539,13714193563.0
Virginia,2021,15790735684.0,216706775,16007442459.0
Virginia,2022,17823746172.0,222419069,18046165241.0
Virginia,2023,21121573951.0,298394071,21419968022.0
Virginia,2024,21783535305.0,280491500,22064026805.0
Washington,2014,7062533683.0,17186798,7079720481.0
Washington,2015,10494138618.0,28316844,10522455462.0
Washington,2016,10787810275.0,17827073,10805637348.0
Washington,2017,11892840575.0,34102638,11926943213.0
Washington,2018,12093602904.0,15070010,12108672914.0
Washington,2019,13128258799.0,26094995,13154353794.0
Washington,2020,13616067808.0,16122940,13632190748.0
Washington,2021,16776780834.0,37871011,16814651845.0
Washington,2022,17140713645.0,28114705,17168828350.0
Washington,2023,18341376203.0,16334707,18357710910.0
Washington,2024,20038047659.0,15642986,20053690645.0
West Virginia,2014,3331020307.0,3200581,3334220888.0
West Virginia,2015,3646548197.0,18312486,3664860683.0
West Virginia,2016,3655890862.0,15930281,3671821143.0
West Virginia,2017,4000838793.0,16169730,4017008523.0
West Virginia,2018,3854175868.0,24122327,3878298195.0
West Virginia,2019,3926176801.0,23315384,3949492185.0
West Virginia,2020,4145950758.0,23806507,4169757265.0
West Virginia,2021,4621996577.0,30314455,4652311032.0
West Virginia,2022,5183933490.0,33979521,5217913011.0
West Virginia,2023,5427180909.0,33918122,5461099031.0
West Virginia,2024,4890332627.0,31934733,4922267360.0
Wisconsin,2014,7396295700.0,111380131,7507675831.0
Wisconsin,2015,7893501866.0,100482776,7993984642.0
Wisconsin,2016,7626998105.0,85913234,7712911339.0
Wisconsin,2017,8049889736.0,96705713,8146595449.0
Wisconsin,2018,8768743868.0,106696748,8875440616.0
Wisconsin,2019,9132546898.0,96922678,9229469576.0
Wisconsin,2020,9345285225.0,113215460,9458500685.0
Wisconsin,2021,10293593549.0,110439755,10404033304.0
Wisconsin,2022,11429134969.0,108546799,11537681768.0
Wisconsin,2023,11983836909.0,107630083,12091466992.0
Wisconsin,2024,12226482492.0,115253230,12341735722.0
Wyoming,2014,539403281.0,727181,540130462.0
Wyoming,2015,558961575.0,1667685,560629260.0
Wyoming,2016,573809794.0,2428080,576237874.0
Wyoming,2017,591622270.0,2515572,594137842.0
Wyoming,2018,595439375.0,2686444,598125819.0
Wyoming,2019,584259094.0,2374696,586633790.0
Wyoming,2020,610632960.0,2618461,613251421.0
Wyoming,2021,588254128.0,7863707,596117835.0
Wyoming,2022,668371415.0,8842159,677213574.0
Wyoming,2023,715906959.0,10032531,725939490.0
Wyoming,2024,758941018.0,11551438,770492456.0
